x,y,z
1.000000e+02,0.000000e+00,1.000000e+02
1.014520e+02,-4.442512e-01,1.014520e+02
1.007493e+02,-2.861571e+00,1.007493e+02
1.002785e+02,-2.374650e+00,1.002785e+02
1.015858e+02,-4.188302e+00,1.015858e+02
1.000091e+02,-5.519237e+00,1.000091e+02
1.008636e+02,-5.258625e+00,1.008636e+02
1.009886e+02,-7.821336e+00,1.009886e+02
9.972077e+01,-7.818210e+00,9.972077e+01
1.011972e+02,-8.765582e+00,1.011972e+02
9.999242e+01,-1.087705e+01,9.999242e+01
9.995428e+01,-1.032156e+01,9.995428e+01
1.008452e+02,-1.252356e+01,1.008452e+02
9.916704e+01,-1.333026e+01,9.916704e+01
1.003059e+02,-1.342878e+01,1.003059e+02
9.983285e+01,-1.596028e+01,9.983285e+01
9.888012e+01,-1.561425e+01,9.888012e+01
1.002104e+02,-1.706498e+01,1.002104e+02
9.862548e+01,-1.874318e+01,9.862548e+01
9.901320e+01,-1.828384e+01,9.901320e+01
9.937811e+01,-2.073664e+01,9.937811e+01
9.776934e+01,-2.103431e+01,9.776934e+01
9.905357e+01,-2.158463e+01,9.905357e+01
9.801915e+01,-2.391085e+01,9.801915e+01
9.746979e+01,-2.336299e+01,9.746979e+01
9.849083e+01,-2.526111e+01,9.849083e+01
9.668127e+01,-2.642498e+01,9.668127e+01
9.743308e+01,-2.621474e+01,9.743308e+01
9.721166e+01,-2.875200e+01,9.721166e+01
9.582723e+01,-2.861025e+01,9.582723e+01
9.709378e+01,-2.965407e+01,9.709378e+01
9.558791e+01,-3.162189e+01,9.558791e+01
9.547769e+01,-3.103375e+01,9.547769e+01
9.605223e+01,-3.327256e+01,9.605223e+01
9.418982e+01,-3.389559e+01,9.418982e+01
9.519588e+01,-3.405823e+01,9.519588e+01
9.438392e+01,-3.650242e+01,9.438392e+01
9.334604e+01,-3.603695e+01,9.334604e+01
9.442566e+01,-3.755976e+01,9.442566e+01
9.258185e+01,-3.905314e+01,9.258185e+01
9.289036e+01,-3.858841e+01,9.289036e+01
9.292197e+01,-4.102150e+01,9.292197e+01
9.117631e+01,-4.113400e+01,9.117631e+01
9.229092e+01,-4.174992e+01,9.229092e+01
9.094095e+01,-4.393106e+01,9.094095e+01
9.032592e+01,-4.329037e+01,9.032592e+01
9.106190e+01,-4.522243e+01,9.106190e+01
8.904282e+01,-4.617443e+01,8.904282e+01
8.969592e+01,-4.598035e+01,8.969592e+01
8.913983e+01,-4.843704e+01,8.913983e+01
8.765992e+01,-4.812215e+01,8.765992e+01
8.871773e+01,-4.921892e+01,8.871773e+01
8.693349e+01,-5.099265e+01,8.693349e+01
8.676358e+01,-5.034110e+01,8.676358e+01
8.702922e+01,-5.256442e+01,8.702922e+01
8.500908e+01,-5.296398e+01,8.500908e+01
8.588727e+01,-5.315459e+01,8.588727e+01
8.475554e+01,-5.545796e+01,8.475554e+01
8.365374e+01,-5.484198e+01,8.365374e+01
8.448813e+01,-5.639071e+01,8.448813e+01
8.241350e+01,-5.765344e+01,8.241350e+01
8.265479e+01,-5.715267e+01,8.265479e+01
8.236753e+01,-5.951334e+01,8.236753e+01
8.051336e+01,-5.940586e+01,8.051336e+01
8.146518e+01,-6.004888e+01,8.146518e+01
7.982570e+01,-6.203462e+01,7.982570e+01
7.916574e+01,-6.127254e+01,7.916574e+01
7.962741e+01,-6.319044e+01,7.962741e+01
7.743097e+01,-6.389014e+01,7.743097e+01
7.799740e+01,-6.368076e+01,7.799740e+01
7.712826e+01,-6.600525e+01,7.712826e+01
7.558190e+01,-6.548702e+01,7.558190e+01
7.644089e+01,-6.659591e+01,7.644089e+01
7.441030e+01,-6.812970e+01,7.441030e+01
7.420066e+01,-6.738765e+01,7.420066e+01
7.417436e+01,-6.954657e+01,7.417436e+01
7.203128e+01,-6.968792e+01,7.203128e+01
7.279450e+01,-6.987354e+01,7.279450e+01
7.137161e+01,-7.198717e+01,7.137161e+01
7.023459e+01,-7.119430e+01,7.023459e+01
7.083793e+01,-7.272619e+01,7.083793e+01
6.856924e+01,-7.371793e+01,6.856924e+01
6.876263e+01,-7.315448e+01,6.876263e+01
6.818021e+01,-7.539440e+01,6.818021e+01
6.625352e+01,-7.503772e+01,6.625352e+01
6.705734e+01,-7.567311e+01,6.705734e+01
6.516330e+01,-7.741864e+01,6.516330e+01
6.448616e+01,-7.651163e+01,6.448616e+01
6.469296e+01,-7.837155e+01,6.469296e+01
6.235924e+01,-7.878469e+01,6.235924e+01
6.285823e+01,-7.853293e+01,6.285823e+01
6.170655e+01,-8.067900e+01,6.170655e+01
6.012971e+01,-7.993320e+01,6.012971e+01
6.080771e+01,-8.101776e+01,6.080771e+01
5.857101e+01,-8.227218e+01,5.857101e+01
5.834822e+01,-8.141786e+01,5.834822e+01
5.805543e+01,-8.346865e+01,5.805543e+01
5.583133e+01,-8.332375e+01,5.583133e+01
5.649953e+01,-8.347628e+01,5.649953e+01
5.482242e+01,-8.535755e+01,5.482242e+01
5.368521e+01,-8.436770e+01,5.368521e+01
